Camino|Camino|Camino|
Firefox 15|Firefox/15|Firefox|
Firefox 16|Firefox/16|Firefox|
Firefox 17|Firefox/17|Firefox|
Firefox 18|Firefox/18|Firefox|
Firefox 19|Firefox/19|Firefox|
Firefox 20|Firefox/20|Firefox|
Firefox 21|Firefox/21|Firefox|
Firefox 22|Firefox/22|Firefox|
Firefox 23|Firefox/23|Firefox|
Firefox 24|Firefox/24|Firefox|
Firefox 25|Firefox/25|Firefox|
Firefox 26|Firefox/26|Firefox|
Firefox 27|Firefox/27|Firefox|
Firefox 28|Firefox/28|Firefox|
Firefox 29|Firefox/29|Firefox|
Firefox 2|Firefox/2|Firefox|
Firefox 30|Firefox/30|Firefox|
Firefox 31|Firefox/31|Firefox|
Firefox 32|Firefox/32|Firefox|
Firefox 33|Firefox/33|Firefox|
Firefox 34|Firefox/34|Firefox|
Firefox 35|Firefox/35|Firefox|
Firefox 36|Firefox/36|Firefox|
Firefox 37|Firefox/37|Firefox|
Firefox 38|Firefox/38|Firefox|
Firefox 39|Firefox/39|Firefox|
Firefox 3|Firefox/3|Firefox|
Firefox 40|Firefox/40|Firefox|
Firefox 41|Firefox/41|Firefox|
Firefox 42|Firefox/42|Firefox|
Firefox 43|Firefox/43|Firefox|
Firefox 44|Firefox/44|Firefox|
Firefox 45|Firefox/45|Firefox|
Firefox 46|Firefox/46|Firefox|
Firefox 47|Firefox/47|Firefox|
Firefox 48|Firefox/48|Firefox|
Firefox 49|Firefox/49|Firefox|
Firefox 4|Firefox/4|Firefox|
Firefox 50|Firefox/50|Firefox|
Firefox 51|Firefox/51|Firefox|
Firefox 52|Firefox/52|Firefox|
Firefox 53|Firefox/53|Firefox|
Firefox 54|Firefox/54|Firefox|
Firefox 55|Firefox/55|Firefox|
Firefox 56|Firefox/56|Firefox|
Firefox 57|Firefox/57|Firefox|
Firefox 58|Firefox/58|Firefox|
Firefox 59|Firefox/59|Firefox|
Firefox 5|Firefox/5|Firefox|
Firefox|Firefox|Firefox|
Firefox|Phoenix|Firefox|
Firebird|Firebird|Firefox|
Galeon|Galeon|Galeon|
Generic Gecko|Gecko/|Gecko|
Thunderbird|Thunderbird|Thunderbird|
Internet Explorer Mobile 9.0|IEMobile/9.0|IE|
Internet Explorer Mobile 7.11|IEMobile 7.11|IE|
Internet Explorer Mobile 7|IEMobile/7.0|IE|
Internet Explorer Mobile|IEMobile|IE|
Internet Explorer 11|MSIE11.|IE|
Internet Explorer 10|MSIE10.|IE|
Internet Explorer 9|MSIE9.|IE|
Internet Explorer 8|MSIE8.|IE|
Internet Explorer 7|MSIE7.|IE|
Internet Explorer 6|MSIE6.|IE6|
Internet Explorer 5|MSIE5.|IE5|
Internet Explorer 4|MSIE4.|IE4|
Internet Explorer 3|MSIE3.|IE3|
Internet Explorer 2|MSIE2.|IE|
Internet Explorer|MSIE|IE|
Pocket Internet Explorer|MicrosoftPocketInternetExplorer|IE|
Pocket Internet Explorer|MSPIE|IE|
Opera 4|Opera4|Opera|
Opera 5|Opera5|Opera|
Opera 6|Opera6|Opera|
Opera 7|Opera7|Opera|
Opera 7|Opera/7|Opera|
Opera 8|Opera/8|Opera|
Opera 8|Opera8|Opera|
Opera 9|Opera/9|Opera|
Opera 9.7|Opera 9.70|Opera|
Opera 9.7|Presto/2.2.0|Opera|
Opera 9.7|Presto/2.2.1|Opera|
Opera 9.8|Presto/2.4.15|Opera|
Opera 9.8|Opera/9.8|Opera|
Opera 9.99|Presto/9.9.9|Opera|
Opera 10|Opera/10|Opera|
Opera 10|Presto/2.2.15Version/10.00|Opera|
Opera 10|Presto/2.2.15Version/10.01|Opera|
Opera 10|Presto/2.2.15Version/10.10|Opera|
Opera 10|Opera10.10|Opera|
Opera 10|Presto/2.2.2|Opera|
Opera 10|Presto/2.5.22Version/10.50|Opera|
Opera 10|Presto/2.5.22Version/10.51|Opera|
Opera 10|Opera10.51|Opera|
Opera 10|Presto/2.5.24Version/10.52|Opera|
Opera 10|Presto/2.5.24Version/10.53|Opera|
Opera 10|Opera10.53|Opera|
Opera 10|Presto/2.5.25Version/10.54|Opera|
Opera 10|Presto/2.5.27Version/10.60|Opera|
Opera 10|Presto/2.6.30Version/10.61|Opera|
Opera 10|Presto/2.6.30Version/10.62|Opera|
Opera 10|Opera10.62|Opera|
Opera 10|Presto/2.6.30Version/10.63|Opera|
Opera 10|Presto/2.6.31Version/10.70|Opera|
Opera 11|Presto/2.7.62Version/11.00|Opera|
Opera 11|Opera11.00|Opera|
Opera 11|Presto/2.7.62Version/11.01|Opera|
Opera 11|Opera11.01|Opera|
Opera 11|Presto/2.8.131Version/11.10|Opera|
Opera 11|Presto/2.8.131Version/11.11|Opera|
Opera 11|Opera11.11|Opera|
Opera 11.5|Presto/2.9.168Version/11.50|Opera|
Opera 12|Presto/2.9.181Version/12.00|Opera|
Opera 11|Opera/11|Opera|
Opera 12|Opera/12|Opera|
Opera 13|Opera/13|Opera|
Opera 15|OPR/15|Opera|
Opera Mini 6.1|OperaMini/6.1.25375|Opera|
Opera Mini|OperaMini|Opera|
Opera|Opera|Opera|
Orca|Orca|Orca|
Konqueror 3.5|Konqueror/3.5|Konqueror|
Konqueror 3|Konqueror/3|Konqueror|
Konqueror|Konqueror|Konqueror|
KHTML 3|KHTML/3.5.5|Konqueror|
Links|Links|Links|
Lynx|Lynx|Lynx|
AmigaVoyager|AmigaVoyager|AmigaVoyager|
Ensemble2|Ensemble2|Ensemble2|
Iceweasel|Iceweasel|Iceweasel|
SeaMonkey|SeaMonkey|SeaMonkey|
RssReader|rssreader.com|RssReader|
Radianrss|radianrss|Radianrss|
NewsCopier|NewsCopier|NewsCopier|
K-Meleon|K-Meleon|K-Meleon|
iCab|iCab|iCab|
Swiftweasel|Swiftweasel|Swiftweasel|
Safari Mobile 9.1|Version/9.1Mobile|Safari8|
Safari Mobile 9.0|Version/9.0.3Mobile|Safari8|
Safari Mobile 9.0|Version/9.0.2Mobile|Safari8|
Safari Mobile 9.0|Version/9.0.1Mobile|Safari8|
Safari Mobile 9.0|Version/9.0Mobile|Safari8|
Safari Mobile 8.0|Version/8.0.8Mobile|Safari8|
Safari Mobile 8.0|Version/8.0.7Mobile|Safari8|
Safari Mobile 8.0|Version/8.0.6Mobile|Safari8|
Safari Mobile 8.0|Version/8.0.5Mobile|Safari8|
Safari Mobile 8.0|Version/8.0.4Mobile|Safari8|
Safari Mobile 8.0|Version/8.0.3Mobile|Safari8|
Safari Mobile 8.0|Version/8.0.2Mobile|Safari8|
Safari Mobile 8.0|Version/8.0.1Mobile|Safari8|
Safari Mobile 8.0|Version/8.0Mobile|Safari8|
Safari Mobile 7.1|Version/7.1.8Mobile|SafariMobile|
Safari Mobile 7.1|Version/7.1.7Mobile|SafariMobile|
Safari Mobile 7.1|Version/7.1.6Mobile|SafariMobile|
Safari Mobile 7.1|Version/7.1.5Mobile|SafariMobile|
Safari Mobile 7.1|Version/7.1.4Mobile|SafariMobile|
Safari Mobile 7.1|Version/7.1.3Mobile|SafariMobile|
Safari Mobile 7.1|Version/7.1.2Mobile|SafariMobile|
Safari Mobile 7.1|Version/7.1.1Mobile|SafariMobile|
Safari Mobile 7.1|Version/7.1Mobile|SafariMobile|
Safari Mobile 7.0|Version/7.0.6Mobile|SafariMobile|
Safari Mobile 7.0|Version/7.0.5Mobile|SafariMobile|
Safari Mobile 7.0|Version/7.0.4Mobile|SafariMobile|
Safari Mobile 7.0|Version/7.0.3Mobile|SafariMobile|
Safari Mobile 7.0|Version/7.0.2Mobile|SafariMobile|
Safari Mobile 7.0|Version/7.0.1Mobile|SafariMobile|
Safari Mobile 7.0|Version/7.0Mobile|SafariMobile|
Safari Mobile 6.2|Version/6.2.8Mobile|SafariMobile|
Safari Mobile 6.2|Version/6.2.7Mobile|SafariMobile|
Safari Mobile 6.2|Version/6.2.6Mobile|SafariMobile|
Safari Mobile 6.2|Version/6.2.5Mobile|SafariMobile|
Safari Mobile 6.2|Version/6.2.4Mobile|SafariMobile|
Safari Mobile 6.2|Version/6.2.3Mobile|SafariMobile|
Safari Mobile 6.2|Version/6.2.2Mobile|SafariMobile|
Safari Mobile 6.2|Version/6.2.1Mobile|SafariMobile|
Safari Mobile 6.2|Version/6.2Mobile|SafariMobile|
Safari Mobile 6.1|Version/6.1.6Safari/|SafariMobile|
Safari Mobile 6.1|Version/6.1.5Safari/|SafariMobile|
Safari Mobile 6.1|Version/6.1.4Mobile|SafariMobile|
Safari Mobile 6.1|Version/6.1.3Safari/|SafariMobile|
Safari Mobile 6.1|Version/6.1.2Mobile|SafariMobile|
Safari Mobile 6.1|Version/6.1.1Mobile|SafariMobile|
Safari Mobile 6.1|Version/6.1Mobile|SafariMobile|
Safari Mobile 6.0|Version/6.0.5Mobile|SafariMobile|
Safari Mobile 6.0|Version/6.0.4Mobile|SafariMobile|
Safari Mobile 6.0|Version/6.0.3Mobile|SafariMobile|
Safari Mobile 6.0|Version/6.0.2Mobile|SafariMobile|
Safari Mobile 6.0|Version/6.0.1Mobile|SafariMobile|
Safari Mobile 6.0|Version/6.0Mobile|SafariMobile|
Safari Mobile 6.0|6.0 Mobile/10A5355d Safari/8536.25|SafariMobile|
Safari Mobile 5.0|Version/5.0.2Mobile/8J2Safari/6533.18.5|SafariMobile|
Safari Mobile 5.0|Version/5.0.2Mobile/8C148Safari/6533.18.5|SafariMobile|
Safari Mobile 5.0|Version/5.0.2Mobile/8G4Safari/6533.18.5|SafariMobile|
Safari Mobile 5.0|Safari/6533.18.5|SafariMobile|
Safari Mobile 4.0|Safari/6531.22.7|SafariMobile|
Safari Mobile 4.0|Safari/531.21.10|SafariMobile|
Safari Mobile 4.0|Version/4.0MobileSafari/530.17|SafariMobile|
Safari Mobile 4.0|MobileSafari/530.17|SafariMobile|
Safari Mobile 4.0|MobileSafari/534.24|SafariMobile|
Safari Mobile 4.0|Mobile/7D11Safari/528.16|SafariMobile|
Safari Mobile 4.0|Safari/528.16|SafariMobile|
Safari Mobile 3.1|Version/3.1.1Mobile/5H11Safari/525.20|SafariMobile|
Safari Mobile 3.1|Version/3.1.1Mobile/5H11aSafari/525.20|SafariMobile|
Safari Mobile 3|Version/3.0Mobile/1A543aSafari/419.3|SafariMobile|
Safari Mobile 3|MobileSafari/525.20.1|SafariMobile|
Safari Mobile 3|MobileSafari/533.1|SafariMobile|
Safari Mobile|MobileSafari|SafariMobile|
Safari 9.1|Version/9.1Safari/|Safari8|
Safari 9.0|Version/9.0.3Safari/|Safari8|
Safari 9.0|Version/9.0.2Safari/|Safari8|
Safari 9.0|Version/9.0.1Safari/|Safari8|
Safari 9.0|Version/9.0Safari/|Safari8|
Safari 8.0|Version/8.0.8Safari/|Safari8|
Safari 8.0|Version/8.0.7Safari/|Safari8|
Safari 8.0|Version/8.0.6Safari/|Safari8|
Safari 8.0|Version/8.0.5Safari/|Safari8|
Safari 8.0|Version/8.0.4Safari/|Safari8|
Safari 8.0|Version/8.0.3Safari/|Safari8|
Safari 8.0|Version/8.0.2Safari/|Safari8|
Safari 8.0|Version/8.0.1Safari/|Safari8|
Safari 8.0|Version/8.0Safari/|Safari8|
Safari 7.1|Version/7.1.8Safari/|Safari|
Safari 7.1|Version/7.1.7Safari/|Safari|
Safari 7.1|Version/7.1.6Safari/|Safari|
Safari 7.1|Version/7.1.5Safari/|Safari|
Safari 7.1|Version/7.1.4Safari/|Safari|
Safari 7.1|Version/7.1.3Safari/|Safari|
Safari 7.1|Version/7.1.2Safari/|Safari|
Safari 7.1|Version/7.1.1Safari/|Safari|
Safari 7.1|Version/7.1Safari/|Safari|
Safari 7.0|Version/7.0.6Safari/|Safari|
Safari 7.0|Version/7.0.5Safari/|Safari|
Safari 7.0|Version/7.0.4Safari/|Safari|
Safari 7.0|Version/7.0.3Safari/|Safari|
Safari 7.0|Version/7.0.2Safari/|Safari|
Safari 7.0|Version/7.0.1Safari/|Safari|
Safari 7.0|Version/7.0Safari/|Safari|
Safari 6.2|Version/6.2.8Safari/|Safari|
Safari 6.2|Version/6.2.7Safari/|Safari|
Safari 6.2|Version/6.2.6Safari/|Safari|
Safari 6.2|Version/6.2.5Safari/|Safari|
Safari 6.2|Version/6.2.4Safari/|Safari|
Safari 6.2|Version/6.2.3Safari/|Safari|
Safari 6.2|Version/6.2.2Safari/|Safari|
Safari 6.2|Version/6.2.1Safari/|Safari|
Safari 6.2|Version/6.2Safari/|Safari|
Safari 6.1|Version/6.1.6Safari/|Safari|
Safari 6.1|Version/6.1.5Safari/|Safari|
Safari 6.1|Version/6.1.4Safari/|Safari|
Safari 6.1|Version/6.1.3Safari/|Safari|
Safari 6.1|Version/6.1.2Safari/|Safari|
Safari 6.1|Version/6.1.1Safari/|Safari|
Safari 6.1|Version/6.1Safari/|Safari|
Safari 6.0|Version/6.0.5Safari/|Safari|
Safari 6.0|Version/6.0.4Safari/|Safari|
Safari 6.0|Version/6.0.3Safari/|Safari|
Safari 6.0|Version/6.0.2Safari/|Safari|
Safari 6.0|Version/6.0.1Safari/|Safari|
Safari 6.0|Version/6.0Safari/|Safari|
Safari 5.2|Version/5.2Safari/535.18.5|Safari|
Safari 5.1|Version/5.1.7Safari/534.57.2|Safari|
Safari 5.1|Version/5.1.3Safari/534.53.10|Safari|
Safari 5.1|Version/5.1Safari/534.50|Safari|
Safari 5.1|Version/5.1Safari/534.48.3|Safari|
Safari 5.0|Version/5.0.6Safari/533.22.3|Safari|
Safari 5.0|Version/5.0.5Safari/533.21.1|Safari|
Safari 5.0|Version/5.0.4Safari/533.20.27|Safari|
Safari 5.0|Version/5.0.3Safari/533.19.4|Safari|
Safari 5.0|Version/5.0.2Safari/533.18.54|Safari|
Safari 4.1|Version/4.1.3Safari/533.19.4|Safari|
Safari 4.0|Version/4.0.5 Safari/531.22.7|Safari|
Safari 4.0|Version/4.0.3Safari/531.9|Safari|
Safari 4.0|Safari/533.21.1|Safari|
Safari 4.0|Version/4.0Safari/534.13|Safari|
Safari 3.1|Safari/525.13|Safari|
Safari|Safari|Safari|
Reeder|Reeder|Reeder|
Safari|CFNetwork|Safari|
Safari|AppleSyndication|Safari|
Safari|AppleWebKit|Safari|
Slim Browser|SlimBrowser|Slim Browser|
Playstation|PLAYSTATION|Playstation|
Playstation|PlayStationPortable|Playstation|
BlackBerry|BlackBerry|BlackBerry|
Vienna|Vienna|Vienna|
Mozilla|Mozilla|Mozilla|
Mozilla Minefield|Minefield|Mozilla|
Netscape|Netscape|Netscape
Vivaldi 1.1|Vivaldi/1.1|Vivaldi|
Vivaldi 1.0|Vivaldi/1.0|Vivaldi|
Vivaldi|Vivaldi|Vivaldi|
ldi|
